Feature	COPF
Rhodothalassiaceae	74
Pseudoxanthobacteraceae	74
Thiocyanate hydrolase	74
Salinibacteraceae	74
Lichenibacteriaceae	74
Gloeomargaritaceae	74
Magnetovibrionaceae	74
Rhodospirillaceae	74
Phage shock protein operon	74
Thalassobaculaceae	74
Kiloniellaceae	74
Isosphaeraceae	74
Breoghaniaceae	74
Blastochloridaceae	74
Tripartite multidrug efflux systems (of RND type) CmeABC and CmeDEF	74
Archangiaceae	74
Roseiarcaceae	74
Propylenellaceae	74
Acidobacteriaceae	74
Rhodovibrionaceae	74
Tepidamorphaceae	74
Alsobacteraceae	74
Amorphaceae	74
Ancalomicrobiaceae	74
Pseudohongiellaceae	74
Salinisphaeraceae	74
Aurantimonadaceae	74
D-altritol utilization	74
Geminicoccaceae	74
Cohaesibacteraceae	74
Manganitrophaceae	74
Brocadiaceae	74
Notoacmeibacteraceae	74
Phreatobacteraceae	74
Oligoflexaceae	74
Oceanibaculaceae	74
Kofleriaceae	74
Pyridoxin(Vitamin B6) Degradation Pathway	74
Capsulimonadaceae	74
Sox thiosulfate oxidation system	74
Gallaecimonadaceae	74
Reticulibacteraceae	74
Photosystem II	74
Plasmid replication	74
Afifellaceae	74
Respiratory complex I in plants (plastidial) and cyanobacteria	74
RuBisCO operon	75
Sneathiellaceae	75
Zavarziniaceae	75
Polyangiaceae	75
Thiohalorhabdaceae	75
Thiohalomonadaceae	75
Kordiimonadaceae	75
Granulosicoccaceae	75
Parvularculaceae	75
Ectoine, hydroxyectoine uptake and catabolism	75
Boseaceae	75
Aggregatilineaceae	75
Sporulation Cluster	76
Clostridiales Family XVII. Incertae Sedis	76
Acetoin, butanediol metabolism	77
DNA repair, bacterial SbcCD exonuclease	77
Heme, hemin uptake and utilization systems in GramPositives	77
Copper Transport System	78
tRNA aminoacylation, Tyr	78
Poly-gamma-glutamate biosynthesis	79
Acetophenone carboxylase 1	79
Pumilibacteraceae	79
Trans-translation by stalled ribosomes	79
Chlamydiaceae	79
Desulfocucumaceae	79
Vicinamibacteraceae	79
Methylocystaceae	79
Rivulariaceae	79
Anaerobic toluene and ethylbenzene degradation	79
ABC transporter YxeMNO	79
Rhodobiaceae	79
Simkaniaceae	79
Thermomicrobiaceae	79
Acetolactate synthase subunits	80
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	80
Sphaerobacteraceae	80
Mangrovivirgaceae	81
Cyanothecaceae	81
Chlorogloeopsidaceae	81
Luteibaculaceae	81
Celerinatantimonadaceae	81
Tenuifilaceae	81
Monoglobaceae	81
Thermochlorobacteriaceae	81
Capillimicrobiaceae	81
Sodium-transporting ATPase	81
Cell invasion-related virulence operon MCE	81
Acanthopleuribacteraceae	81
Vallicoccaceae	81
Streptolysin S	81
Toxin-Antitoxin MT1	81
Vancomycin resistance, D-Ala-D-Ser, D-Ala-Lac ligases	81
DNA Helicase of Unknown Function	81
DNA recombination, archaeal	81
Motilibacteraceae	81
Oscillochloridaceae	81
Coenzyme F420-H2 dehydrogenase (methanophenazine)	81
Promineifilaceae	81
Dehalococcoidaceae	81
Mucispirillaceae	81
Desulfuromonadaceae	81
Dermabacteraceae	82
Ruaniaceae	82
Jonesiaceae	82
Inositol catabolism	82
Beutenbergiaceae	82
Carbonactinosporaceae	82
Kineosporiaceae	82
Tsukamurellaceae	82
Merismopediaceae	82
Sigma54-dependent transcription related gene cluster 2	82
Lipid-linked oligosaccharide synthesis related cluster	82
L-fucose utilization	83
L-fucose dissimilation cluster	83
Sanguibacteraceae	84
Miltoncostaeaceae	84
ESAT-6 proteins secretion system in Mycobacteria (locus ESX-4)	84
Thiohalobacteraceae	84
Iron transport system including ABC transporter	84
Tropherymataceae	84
Iron(III) dicitrate transport system Fec	84
Limnochordaceae	84
Galactosamine Substituent of Arabinogalactan in Mycobacteria	84
Cell wall-associated cluster in Mycobacterium	84
Antricoccaceae	84
Phosphatidylinositol mannosides biosynthesis related cluster	84
Nanopelagicaceae	84
Actinomycetaceae	84
Cryptosporangiaceae	84
Acidothermaceae	84
